Freq.	V(out)
1.02801629812647e+00	(-4.66294365125266e+00dB,1.45247579590650e+02°)
1.02880563267386e+00	(-4.65107418815145e+00dB,1.45230749464980e+02°)
1.02959557329045e+00	(-4.63920639569393e+00dB,1.45213907063325e+02°)
1.03038612044162e+00	(-4.62734027503637e+00dB,1.45197052383877e+02°)
1.03117727459306e+00	(-4.61547582818900e+00dB,1.45180185434041e+02°)
1.03196903621084e+00	(-4.60361305693024e+00dB,1.45163306219805e+02°)
1.03276140576140e+00	(-4.59175196249989e+00dB,1.45146414741125e+02°)
1.03355438371151e+00	(-4.57989254675526e+00dB,1.45129511004753e+02°)
1.03434797052833e+00	(-4.56803481139814e+00dB,1.45112595013966e+02°)
1.03514216667934e+00	(-4.55617875796945e+00dB,1.45095666773770e+02°)
1.03593697263242e+00	(-4.54432438800448e+00dB,1.45078726285897e+02°)
1.03673238885579e+00	(-4.53247170339296e+00dB,1.45061773557439e+02°)
1.03752841581801e+00	(-4.52062070560992e+00dB,1.45044808590663e+02°)
1.03832505398804e+00	(-4.50877139647814e+00dB,1.45027831392356e+02°)
1.03912230383517e+00	(-4.49692377744352e+00dB,1.45010841963466e+02°)
1.03992016582906e+00	(-4.48507785018402e+00dB,1.44993840309139e+02°)
1.04071864043973e+00	(-4.47323361649605e+00dB,1.44976826435795e+02°)
1.04151772813757e+00	(-4.46139107781719e+00dB,1.44959800344818e+02°)
1.04231742939330e+00	(-4.44955023609134e+00dB,1.44942762043892e+02°)
1.04311774467805e+00	(-4.43771109270689e+00dB,1.44925711534883e+02°)
1.04391867446328e+00	(-4.42587364929606e+00dB,1.44908648821217e+02°)
1.04472021922080e+00	(-4.41403790753345e+00dB,1.44891573907943e+02°)
1.04552237942282e+00	(-4.40220386922184e+00dB,1.44874486801327e+02°)
1.04632515554188e+00	(-4.39037153586663e+00dB,1.44857387503210e+02°)
1.04712854805090e+00	(-4.37854090912854e+00dB,1.44840276019915e+02°)
1.04793255742316e+00	(-4.36671199060978e+00dB,1.44823152353931e+02°)
1.04873718413230e+00	(-4.35488478211378e+00dB,1.44806016511156e+02°)
