Freq.	V(out)
1.06414301822432e+00	(-4.18069517007185e+00dB,1.44730367478571e+02°)
1.06496009169793e+00	(-4.16887888283056e+00dB,1.44713114252980e+02°)
1.06577779253934e+00	(-4.15706431915372e+00dB,1.44695848894980e+02°)
1.06659612123026e+00	(-4.14525148084683e+00dB,1.44678571410242e+02°)
1.06741507825276e+00	(-4.13344036945458e+00dB,1.44661281802474e+02°)
1.06823466408928e+00	(-4.12163098649024e+00dB,1.44643980074836e+02°)
1.06905487922266e+00	(-4.10982333379506e+00dB,1.44626666233998e+02°)
1.06987572413607e+00	(-4.09801741283602e+00dB,1.44609340282751e+02°)
1.07069719931308e+00	(-4.08621322540756e+00dB,1.44592002227389e+02°)
1.07151930523761e+00	(-4.07441077313002e+00dB,1.44574652071038e+02°)
1.07234204239397e+00	(-4.06261005744463e+00dB,1.44557289817786e+02°)
1.07316541126683e+00	(-4.05081108008047e+00dB,1.44539915472126e+02°)
1.07398941234125e+00	(-4.03901384281708e+00dB,1.44522529040052e+02°)
1.07481404610263e+00	(-4.02721834722333e+00dB,1.44505130526212e+02°)
1.07563931303677e+00	(-4.01542459509284e+00dB,1.44487719935938e+02°)
1.07646521362984e+00	(-4.00363258770735e+00dB,1.44470297270579e+02°)
1.07729174836836e+00	(-3.99184232686892e+00dB,1.44452862536473e+02°)
1.07811891773927e+00	(-3.98005381432927e+00dB,1.44435415738672e+02°)
1.07894672222983e+00	(-3.96826705158687e+00dB,1.44417956881914e+02°)
1.07977516232771e+00	(-3.95648204040692e+00dB,1.44400485970597e+02°)
1.08060423852094e+00	(-3.94469878234958e+00dB,1.44383003009391e+02°)
1.08143395129794e+00	(-3.93291727899344e+00dB,1.44365508002185e+02°)
1.08226430114748e+00	(-3.92113753207587e+00dB,1.44348000954650e+02°)
1.08309528855872e+00	(-3.90935954308769e+00dB,1.44330481870505e+02°)
1.08392691402120e+00	(-3.89758331396231e+00dB,1.44312950756316e+02°)
1.08475917802484e+00	(-3.88580884600732e+00dB,1.44295407614478e+02°)
1.08559208105990e+00	(-3.87403614108536e+00dB,1.44277852452104e+02°)
1.08642562361707e+00	(-3.86226520064500e+00dB,1.44260285271148e+02°)
1.08725980618737e+00	(-3.85049602649807e+00dB,1.44242706079172e+02°)
1.08809462926223e+00	(-3.83872862020800e+00dB,1.44225114879407e+02°)
1.08893009333343e+00	(-3.82696298341573e+00dB,1.44207511677231e+02°)
1.08976619889316e+00	(-3.81519911762690e+00dB,1.44189896475576e+02°)
1.09060294643396e+00	(-3.80343702479625e+00dB,1.44172269283321e+02°)
1.09144033644876e+00	(-3.79167670627636e+00dB,1.44154630101949e+02°)
1.09227836943086e+00	(-3.77991816364413e+00dB,1.44136978935178e+02°)
1.09311704587395e+00	(-3.76816139887686e+00dB,1.44119315792076e+02°)
